attendance_id,customer_id,visit_date,attraction_id,time_spent_minutes
4079,1020,2024-07-22,7,59
4080,1021,2024-04-07,9,35
4081,1021,2024-04-07,2,32
4082,1021,2024-04-07,7,37
4083,1022,2024-09-13,10,52
4084,1022,2024-09-13,2,41
4085,1023,2024-04-14,2,30
4086,1023,2024-04-14,3,26
4087,1024,2024-11-22,2,57
4088,1024,2024-11-22,3,48
4089,1024,2024-11-22,4,29
4090,1024,2024-11-22,6,10
4091,1025,2024-10-25,5,10
4092,1025,2024-10-25,7,24
4093,1026,2024-06-27,2,60
4094,1026,2024-06-27,5,19
4095,1026,2024-09-28,1,49
4096,1026,2024-09-28,2,21
4097,1026,2024-09-28,3,24
4098,1026,2024-09-28,10,20
4099,1027,2024-07-14,4,29
4100,1027,2024-07-14,5,37
4101,1027,2024-07-14,6,18
4102,1028,2024-04-26,2,24
4103,1028,2024-04-26,4,55
4104,1029,2024-03-30,1,58
4105,1029,2024-03-30,3,35
4106,1029,2024-03-30,6,67
4107,1030,2024-06-04,1,27
4108,1030,2024-06-04,7,25
4109,1030,2024-06-04,8,57
4110,1031,2024-10-23,1,21
4111,1032,2024-10-24,1,43
4112,1033,2024-03-24,1,38
4113,1033,2024-03-24,2,27
4114,1033,2024-03-24,3,11
4115,1034,2024-06-25,1,34
4116,1034,2024-06-25,2,11
4117,1034,2024-06-25,4,32
4118,1034,2024-06-25,5,58
4119,1034,2024-10-24,9,66
4120,1034,2024-10-24,8,63
4121,1034,2024-03-30,1,49
4122,1034,2024-03-30,5,41
4123,1035,2024-01-28,6,68
4124,1035,2024-03-29,2,70
4125,1035,2024-03-29,4,20
4126,1035,2024-03-29,8,45
4127,1035,2024-06-19,2,33
4128,1035,2024-02-07,1,58
4129,1035,2024-02-07,2,42
4130,1035,2024-02-07,4,58
4131,1035,2024-02-07,6,24
4132,1036,2024-02-13,9,74
4133,1036,2024-02-13,2,18
4134,1036,2024-02-13,4,62
4135,1036,2024-10-12,2,50
4136,1036,2024-10-12,5,49
4137,1036,2024-10-12,6,16
4138,1037,2024-10-11,2,47
4139,1037,2024-10-11,4,72
4140,1037,2024-10-11,5,53
4141,1038,2024-07-18,9,71
4142,1038,2024-07-18,7,30
4143,1039,2024-10-29,2,32
4144,1039,2024-10-29,4,33
4145,1039,2024-10-29,8,46
4146,1040,2024-09-09,2,45
4147,1040,2024-09-09,6,29
4148,1041,2024-12-29,1,24
4149,1042,2024-04-12,1,70
4150,1042,2024-04-12,5,67
4151,1043,2024-12-21,2,54
4152,1043,2024-12-21,5,66
4153,1043,2024-12-21,6,58
4154,1044,2024-11-23,9,37
4155,1044,2024-11-23,10,40
4156,1044,2024-11-23,3,53
4157,1044,2024-11-23,1,40
4158,1044,2024-09-28,1,26
4159,1044,2024-06-20,9,33
4160,1044,2024-06-20,4,57
4161,1044,2024-06-20,6,61
4162,1045,2024-06-12,3,37
4163,1045,2024-06-12,7,23
4164,1046,2024-12-11,1,56
4165,1046,2024-12-11,7,72
4166,1047,2024-12-26,1,22
4167,1048,2024-03-25,1,54
4168,1049,2024-01-22,3,36
4169,1050,2024-09-01,3,32
4170,1050,2024-09-01,4,25
4171,1050,2024-09-01,8,53
4172,1051,2024-08-02,2,49
4173,1051,2024-10-09,2,18
4174,1051,2024-10-09,3,68
4175,1051,2024-10-09,4,18
4176,1051,2024-09-26,2,37
4177,1051,2024-09-26,5,54
4178,1051,2024-12-21,1,32
4179,1051,2024-12-21,2,52
4180,1051,2024-12-21,5,65
4181,1051,2024-12-21,7,30
4182,1052,2024-05-05,2,35
4183,1052,2024-05-05,3,25
4184,1052,2024-05-05,5,65
4185,1052,2024-12-25,6,10
4186,1053,2024-06-17,3,70
4187,1053,2024-06-17,4,47
4188,1053,2024-06-17,5,29
4189,1053,2024-06-17,6,70
4190,1053,2024-06-17,9,71
4191,1053,2024-12-25,1,27
4192,1053,2024-12-25,2,16
4193,1053,2024-12-25,5,66
4194,1053,2024-03-15,1,23
4195,1053,2024-03-15,3,26
4196,1053,2024-03-15,5,50
4197,1054,2024-01-18,1,46
4198,1054,2024-01-18,2,40
4199,1054,2024-01-18,4,36
4200,1054,2024-12-20,6,20
4201,1054,2024-06-30,2,50
4202,1055,2024-07-19,9,26
4203,1055,2024-07-19,1,22
4204,1055,2024-07-19,6,15
4205,1056,2024-04-25,1,62
4206,1056,2024-04-25,2,41
4207,1056,2024-04-25,5,31
4208,1056,2024-04-25,6,39
4209,1056,2024-07-16,4,28
4210,1056,2024-07-16,6,21
4211,1056,2024-07-16,8,64
4212,1056,2024-12-11,1,66
4213,1056,2024-12-11,3,40
4214,1056,2024-12-11,8,75
4215,1057,2024-01-26,1,44
4216,1057,2024-01-26,4,49
4217,1057,2024-01-26,5,35
4218,1058,2024-10-11,1,47
4219,1059,2024-01-10,9,72
4220,1059,2024-01-10,6,70
4221,1059,2024-01-10,7,47
4222,1060,2024-12-16,5,47
4223,1061,2024-06-13,6,74
4224,1061,2024-06-13,7,36
4225,1061,2024-06-13,8,22
4226,1062,2024-09-05,2,41
4227,1062,2024-09-05,6,65
4228,1062,2024-09-05,8,35
4229,1063,2024-04-19,2,55
4230,1063,2024-08-15,1,17
4231,1063,2024-08-15,3,33
4232,1063,2024-08-15,5,53
4233,1063,2024-08-15,7,12
4234,1064,2024-10-06,9,55
4235,1064,2024-10-06,3,12
4236,1064,2024-10-06,6,75
4237,1065,2024-10-07,9,63
4238,1065,2024-10-07,3,75
4239,1065,2024-10-07,6,62
4240,1066,2024-01-13,2,59
4241,1066,2024-01-13,7,42
4242,1067,2024-08-22,1,44
4243,1067,2024-08-22,2,11
4244,1067,2024-08-22,5,43
4245,1068,2024-07-26,4,75
4246,1068,2024-04-07,2,59
4247,1068,2024-04-07,6,16
4248,1069,2024-05-14,1,18
4249,1070,2024-07-08,1,37
4250,1070,2024-07-08,3,25
4251,1070,2024-07-08,5,37
4252,1070,2024-07-08,8,28
4253,1070,2024-10-04,1,23
4254,1070,2024-10-04,4,71
4255,1070,2024-10-04,7,26
4256,1070,2024-07-26,3,10
4257,1070,2024-03-05,7,19
4258,1071,2024-10-25,1,14
4259,1071,2024-10-25,3,65
4260,1071,2024-10-25,6,66
4261,1071,2024-07-26,1,21
4262,1071,2024-07-26,6,52
4263,1072,2024-06-14,5,31
4264,1073,2024-03-20,1,20
4265,1073,2024-03-20,2,72
4266,1073,2024-03-20,7,72
4267,1073,2024-03-20,8,35
4268,1074,2024-06-12,2,68
4269,1074,2024-08-09,1,72
4270,1074,2024-08-09,2,64
4271,1074,2024-08-09,4,33
4272,1075,2024-06-17,2,57
4273,1075,2024-06-17,3,18
4274,1075,2024-05-27,8,26
4275,1076,2024-04-19,3,53
4276,1076,2024-04-19,5,24
4277,1076,2024-04-19,8,59
4278,1076,2024-09-28,3,70
4279,1076,2024-09-28,4,22
4280,1077,2024-10-16,2,21
4281,1077,2024-10-16,3,34
4282,1077,2024-10-16,5,46
4283,1077,2024-09-10,2,52
4284,1078,2024-06-09,1,46
4285,1079,2024-12-19,1,74
4286,1079,2024-12-19,10,66
4287,1079,2024-12-19,3,51
4288,1080,2024-05-25,2,42
4289,1080,2024-05-25,3,28
4290,1080,2024-05-25,6,24
4291,1081,2024-10-26,3,32
4292,1081,2024-10-26,4,23
4293,1081,2024-10-26,5,26
4294,1081,2024-10-26,7,52
4295,1081,2024-05-23,9,45
4296,1081,2024-05-23,4,15
4297,1082,2024-12-19,1,36
4298,1082,2024-12-19,2,49
4299,1082,2024-12-19,6,58
4300,1083,2024-09-21,1,63
4301,1083,2024-09-21,3,64
4302,1083,2024-09-21,5,38
4303,1084,2024-07-20,2,21
4304,1084,2024-07-20,3,31
4305,1085,2024-08-10,4,41
4306,1085,2024-08-10,5,43
4307,1085,2024-08-10,6,21
4308,1086,2024-04-11,3,68
4309,1087,2024-04-15,5,67
4310,1087,2024-04-15,6,63
4311,1087,2024-10-11,9,63
4312,1087,2024-10-11,2,73
4313,1087,2024-10-11,6,16
4314,1088,2024-05-29,2,58
4315,1088,2024-05-29,8,66
4316,1089,2024-05-09,1,42
4317,1089,2024-05-09,2,35
4318,1089,2024-05-09,3,70
4319,1089,2024-05-09,8,25
4320,1089,2024-09-18,4,17
4321,1089,2024-07-12,2,45
4322,1090,2024-11-13,5,41
4323,1091,2024-12-21,3,24
4324,1091,2024-12-21,4,72
4325,1091,2024-12-21,6,35
4326,1092,2024-06-16,7,37
4327,1092,2024-06-16,8,20
4328,1092,2024-03-25,3,60
4329,1093,2024-04-26,1,74
4330,1093,2024-04-26,5,44
4331,1093,2024-04-26,8,70
4332,1093,2024-12-19,3,75
4333,1093,2024-12-19,4,48
4334,1093,2024-12-19,5,54
4335,1093,2024-12-19,7,74
4336,1093,2024-12-19,8,72
4337,1094,2024-05-09,1,21
4338,1094,2024-05-09,2,68
4339,1094,2024-05-09,3,47
4340,1094,2024-05-09,5,63
4341,1094,2024-05-09,6,18
4342,1095,2024-08-28,1,55
4343,1095,2024-08-28,2,22
4344,1095,2024-08-28,5,12
4345,1095,2024-08-28,7,36
4346,1095,2024-08-28,9,27
4347,1095,2024-04-30,9,48
4348,1095,2024-04-30,3,28
4349,1095,2024-04-30,5,12
4350,1095,2024-04-30,7,12
4351,1096,2024-08-22,1,52
4352,1096,2024-08-22,3,17
4353,1097,2024-06-11,10,27
4354,1097,2024-06-11,8,43
4355,1098,2024-01-24,1,31
4356,1099,2024-04-28,6,62
4357,1100,2024-06-23,10,53
4358,1100,2024-06-23,7,32
4359,1100,2024-06-23,2,46
4360,1101,2024-07-19,2,63
4361,1101,2024-07-19,3,19
4362,1101,2024-07-19,6,13
4363,1101,2024-07-19,10,44
4364,1102,2024-07-09,1,64
4365,1102,2024-07-09,2,66
4366,1102,2024-07-09,3,60
4367,1102,2024-07-09,6,18
4368,1103,2024-06-29,4,62
4369,1103,2024-06-29,5,72
4370,1104,2024-10-11,1,48
4371,1104,2024-10-11,9,51
4372,1105,2024-08-21,10,25
4373,1105,2024-08-21,6,54
4374,1105,2024-06-19,9,34
4375,1105,2024-06-19,8,48
4376,1105,2024-04-10,2,18
4377,1105,2024-04-10,5,32
4378,1105,2024-04-10,6,16
4379,1105,2024-04-10,7,14
4380,1105,2024-04-10,8,52
4381,1106,2024-12-22,9,23
4382,1106,2024-12-22,2,67
4383,1106,2024-12-22,10,14
4384,1106,2024-12-22,1,37
4385,1107,2024-10-04,1,41
4386,1107,2024-10-04,2,37
4387,1107,2024-10-04,3,19
4388,1107,2024-10-04,6,36
4389,1108,2024-07-12,1,66
4390,1108,2024-07-12,7,25
4391,1108,2024-12-11,1,71
4392,1108,2024-12-11,3,70
4393,1108,2024-12-11,4,47
4394,1108,2024-12-11,7,28
4395,1109,2024-09-20,1,27
4396,1109,2024-09-20,8,20
4397,1110,2024-04-27,6,12
4398,1110,2024-04-27,8,72
4399,1111,2024-11-06,1,45
4400,1111,2024-11-06,3,59
4401,1111,2024-11-06,5,20
4402,1112,2024-04-19,10,60
4403,1112,2024-04-19,5,31
4404,1112,2024-04-19,2,71
4405,1112,2024-04-19,8,21
4406,1113,2024-04-27,1,65
4407,1113,2024-04-27,2,74
4408,1113,2024-04-27,3,65
4409,1113,2024-07-29,9,37
4410,1113,2024-07-29,7,66
4411,1113,2024-04-11,2,25
4412,1113,2024-04-11,3,32
4413,1113,2024-04-11,5,18
4414,1113,2024-04-11,6,34
4415,1113,2024-04-11,10,21
4416,1114,2024-09-02,1,72
4417,1114,2024-09-02,2,11
4418,1114,2024-09-02,6,10
4419,1114,2024-09-02,8,26
4420,1114,2024-07-19,4,64
4421,1114,2024-07-19,5,30
4422,1115,2024-12-19,1,47
4423,1115,2024-12-19,2,35
4424,1115,2024-12-19,4,10
4425,1116,2024-06-12,2,73
4426,1116,2024-02-14,1,53
4427,1116,2024-02-14,3,49
4428,1116,2024-02-14,5,21
4429,1116,2024-02-14,9,63
4430,1116,2024-02-14,10,48
4431,1116,2024-01-17,2,10
4432,1116,2024-01-17,3,36
4433,1116,2024-01-17,5,28
4434,1116,2024-01-17,6,31
4435,1117,2024-10-16,9,36
4436,1117,2024-10-16,1,70
4437,1117,2024-10-16,4,56
4438,1117,2024-12-17,10,57
4439,1117,2024-12-17,3,46
4440,1117,2024-12-17,6,51
4441,1118,2024-04-08,2,28
4442,1118,2024-04-08,5,43
4443,1118,2024-04-08,8,63
4444,1119,2024-09-06,1,26
4445,1119,2024-09-06,2,29
4446,1119,2024-09-06,8,32
4447,1119,2024-09-14,10,27
4448,1119,2024-09-14,2,30
4449,1119,2024-01-31,2,10
4450,1119,2024-01-31,3,45
4451,1119,2024-01-31,5,50
4452,1119,2024-01-31,6,57
4453,1120,2024-03-05,2,64
4454,1120,2024-03-05,4,64
4455,1120,2024-03-05,5,32
4456,1121,2024-07-23,2,66
4457,1121,2024-07-23,7,64
4458,1121,2024-06-13,2,29
4459,1122,2024-10-14,1,64
4460,1122,2024-10-14,9,44
4461,1122,2024-10-14,2,24
4462,1122,2024-07-08,2,71
4463,1122,2024-07-08,3,41
4464,1122,2024-07-08,4,38
4465,1122,2024-07-08,5,35
4466,1122,2024-04-06,4,67
4467,1122,2024-04-06,6,64
4468,1123,2024-01-02,4,29
4469,1123,2024-01-02,7,54
4470,1124,2024-12-16,1,23
4471,1124,2024-12-16,3,58
4472,1124,2024-12-16,4,54
4473,1124,2024-12-16,6,33
4474,1124,2024-12-16,9,28
4475,1125,2024-03-04,2,40
4476,1125,2024-03-04,3,71
4477,1126,2024-12-09,1,13
4478,1126,2024-12-09,2,58
4479,1126,2024-12-09,4,42
4480,1126,2024-12-09,5,61
4481,1126,2024-12-09,10,13
4482,1127,2024-09-15,9,32
4483,1127,2024-12-29,1,29
4484,1127,2024-12-29,3,29
4485,1127,2024-12-29,6,62
4486,1127,2024-12-29,8,65
4487,1128,2024-11-21,4,67
4488,1128,2024-11-21,8,61
4489,1128,2024-11-17,10,62
4490,1128,2024-11-17,3,66
4491,1128,2024-11-17,4,39
4492,1128,2024-11-17,7,71
4493,1129,2024-12-04,4,18
4494,1130,2024-08-29,1,39
4495,1130,2024-08-29,3,37
4496,1130,2024-08-29,4,14
4497,1130,2024-08-29,5,56
4498,1130,2024-08-29,8,37
4499,1131,2024-12-25,1,59
4500,1131,2024-12-25,2,25
4501,1131,2024-12-25,5,17
4502,1132,2024-02-09,2,70
4503,1133,2024-12-05,1,24
4504,1133,2024-12-05,2,62
4505,1133,2024-12-05,4,60
4506,1134,2024-01-12,2,48
4507,1135,2024-12-20,3,56
4508,1135,2024-03-08,1,54
4509,1135,2024-03-08,3,70
4510,1135,2024-03-08,4,28
4511,1135,2024-03-08,7,60
4512,1135,2024-10-08,1,39
4513,1135,2024-10-08,2,75
4514,1135,2024-10-08,5,55
4515,1135,2024-10-08,9,11
4516,1136,2024-10-05,4,75
4517,1137,2024-11-24,1,44
4518,1137,2024-11-24,3,50
4519,1137,2024-11-24,5,12
4520,1138,2024-05-04,1,74
4521,1138,2024-05-04,2,69
4522,1138,2024-01-08,2,57
4523,1138,2024-01-08,4,44
4524,1139,2024-04-10,9,51
4525,1139,2024-04-10,7,40
4526,1140,2024-09-10,3,72
4527,1140,2024-09-10,5,73
4528,1140,2024-09-10,6,66
4529,1140,2024-09-10,7,68
4530,1140,2024-04-10,1,64
4531,1140,2024-11-14,2,51
4532,1140,2024-11-14,5,40
4533,1140,2024-11-14,8,40
4534,1140,2024-12-28,1,73
4535,1141,2024-10-02,1,56
4536,1141,2024-03-24,7,70
4537,1141,2024-10-17,10,65
4538,1141,2024-10-17,5,41
4539,1141,2024-10-17,6,14
4540,1141,2024-10-17,7,50
4541,1141,2024-10-11,2,40
4542,1142,2024-06-12,1,19
4543,1142,2024-06-12,2,29
4544,1142,2024-06-12,4,14
4545,1142,2024-06-12,9,73
4546,1143,2024-07-15,1,20
4547,1143,2024-07-15,3,54
4548,1143,2024-07-15,8,56
4549,1144,2024-09-26,2,30
4550,1144,2024-09-26,4,28
4551,1144,2024-09-26,8,43
4552,1145,2024-07-12,9,37
4553,1145,2024-07-12,2,33
4554,1146,2024-12-08,1,49
4555,1146,2024-12-08,6,45
4556,1147,2024-11-14,1,57
4557,1148,2024-04-07,8,61
4558,1149,2024-04-14,1,51
4559,1149,2024-04-14,2,15
4560,1149,2024-04-14,4,71
4561,1150,2024-10-20,2,65
4562,1151,2024-06-21,1,24
4563,1151,2024-06-21,2,18
4564,1151,2024-06-21,7,27
4565,1151,2024-09-10,1,68
4566,1151,2024-09-10,2,34
4567,1151,2024-09-10,4,13
4568,1151,2024-09-10,5,58
4569,1151,2024-09-10,7,39
4570,1151,2024-12-28,1,60
4571,1151,2024-12-28,2,27
4572,1151,2024-12-28,3,74
4573,1151,2024-12-28,10,40
4574,1152,2024-06-02,6,33
4575,1153,2024-01-05,1,16
4576,1153,2024-01-05,2,34
4577,1154,2024-12-26,4,29
4578,1155,2024-08-20,1,63
4579,1155,2024-08-20,4,51
4580,1155,2024-08-20,5,43
4581,1155,2024-08-20,6,18
4582,1155,2024-06-26,1,64
4583,1155,2024-06-26,2,55
4584,1155,2024-06-26,4,49
4585,1155,2024-06-26,8,68
4586,1155,2024-06-26,10,18
4587,1155,2024-02-22,9,57
4588,1155,2024-02-22,5,42
4589,1155,2024-02-22,6,75
4590,1155,2024-02-22,8,68
4591,1155,2024-10-10,1,29
4592,1155,2024-10-10,3,38
4593,1155,2024-10-10,4,13
4594,1156,2024-12-08,7,60
4595,1157,2024-07-03,4,49
4596,1158,2024-01-08,2,22
4597,1158,2024-01-08,5,27
4598,1158,2024-01-08,8,38
4599,1158,2024-12-07,1,58
4600,1158,2024-12-07,2,65
4601,1158,2024-12-07,3,17
4602,1159,2024-07-07,1,75
4603,1159,2024-07-07,2,56
4604,1160,2024-10-13,3,37
4605,1160,2024-10-13,5,70
4606,1160,2024-01-20,1,38
4607,1160,2024-01-20,2,69
4608,1160,2024-01-20,3,29
4609,1160,2024-01-20,4,15
4610,1160,2024-01-20,5,34
4611,1161,2024-07-24,1,59
4612,1161,2024-07-24,7,12
4613,1161,2024-07-24,8,25
4614,1162,2024-06-28,1,64
4615,1163,2024-03-23,3,49
4616,1163,2024-03-23,6,33
4617,1163,2024-03-23,8,42
4618,1164,2024-12-11,1,16
4619,1165,2024-04-02,3,27
4620,1166,2024-09-14,1,23
4621,1166,2024-09-14,3,38
4622,1166,2024-02-27,1,41
4623,1166,2024-02-27,8,22
4624,1167,2024-07-20,1,11
4625,1167,2024-07-20,2,36
4626,1167,2024-07-20,3,49
4627,1168,2024-04-21,1,43
4628,1168,2024-04-21,2,29
4629,1168,2024-04-21,4,56
4630,1168,2024-04-21,8,63
4631,1169,2024-12-07,3,62
4632,1169,2024-12-07,4,14
4633,1169,2024-12-07,8,52
4634,1170,2024-11-05,1,37
4635,1170,2024-11-05,2,24
4636,1170,2024-11-05,4,51
4637,1170,2024-11-05,5,70
4638,1171,2024-01-12,1,50
4639,1171,2024-01-12,8,44
4640,1172,2024-09-28,10,52
4641,1172,2024-09-28,5,68
4642,1173,2024-05-05,1,45
4643,1173,2024-05-05,9,23
4644,1173,2024-05-05,3,46
4645,1173,2024-05-05,5,24
4646,1174,2024-04-27,10,24
4647,1174,2024-04-27,5,47
4648,1174,2024-04-27,7,44
4649,1175,2024-10-12,2,24
4650,1175,2024-10-12,3,68
4651,1175,2024-10-12,5,21
4652,1175,2024-10-12,8,14
4653,1176,2024-12-14,8,62
4654,1177,2024-02-19,1,64
4655,1177,2024-02-19,3,56
4656,1178,2024-06-06,2,61
4657,1178,2024-06-06,7,38
4658,1179,2024-06-06,9,55
4659,1179,2024-06-06,3,15
4660,1179,2024-06-06,4,31
4661,1179,2024-03-25,9,26
4662,1179,2024-03-25,2,39
4663,1179,2024-04-27,1,49
4664,1179,2024-04-27,2,23
4665,1179,2024-04-27,3,60
4666,1180,2024-09-09,2,30
4667,1181,2024-08-10,1,57
4668,1181,2024-08-10,3,36
4669,1181,2024-08-10,4,35
4670,1181,2024-08-10,6,21
4671,1182,2024-09-01,1,35
4672,1182,2024-09-01,5,54
4673,1183,2024-08-27,1,72
4674,1183,2024-08-27,3,74
4675,1183,2024-04-08,2,34
4676,1183,2024-04-08,3,67
4677,1183,2024-04-04,2,24
4678,1183,2024-04-04,6,71
4679,1184,2024-01-06,1,31
4680,1184,2024-01-06,4,54
4681,1184,2024-01-06,5,53
4682,1184,2024-01-06,8,44
4683,1184,2024-03-14,1,50
4684,1184,2024-03-14,5,73
4685,1184,2024-04-23,1,13
4686,1184,2024-04-23,3,67
4687,1185,2024-04-23,1,63
4688,1185,2024-04-23,5,23
4689,1186,2024-07-06,2,17
4690,1186,2024-07-06,3,59
4691,1186,2024-07-06,4,25
4692,1187,2024-07-10,1,14
4693,1187,2024-07-10,2,50
4694,1187,2024-07-10,6,43
4695,1187,2024-07-10,8,52
4696,1187,2024-06-04,1,47
4697,1187,2024-06-04,5,23
4698,1187,2024-06-04,8,57
4699,1188,2024-06-22,3,49
4700,1188,2024-06-22,4,42
4701,1189,2024-12-10,1,64
4702,1190,2024-04-19,5,16
4703,1191,2024-02-26,2,41
4704,1191,2024-02-26,8,73
4705,1192,2024-07-13,1,58
4706,1192,2024-07-13,7,22
4707,1192,2024-12-10,2,48
4708,1192,2024-12-10,3,19
4709,1192,2024-12-10,5,54
4710,1192,2024-09-27,2,10
4711,1192,2024-09-27,3,21
4712,1192,2024-09-27,4,35
4713,1192,2024-09-27,8,44
4714,1193,2024-05-26,5,74
4715,1193,2024-10-27,1,10
4716,1193,2024-09-22,1,48
4717,1193,2024-09-22,2,54
4718,1193,2024-09-22,5,23
4719,1194,2024-05-30,1,55
4720,1194,2024-05-30,4,51
4721,1195,2024-07-18,1,69
4722,1195,2024-07-18,3,32
4723,1195,2024-07-18,4,60
4724,1195,2024-07-18,6,64
4725,1195,2024-07-18,7,19
4726,1196,2024-04-28,1,49
4727,1196,2024-04-28,2,27
4728,1196,2024-04-28,4,69
4729,1196,2024-04-28,8,31
4730,1197,2024-02-21,1,14
4731,1197,2024-02-21,5,68
4732,1197,2024-06-04,6,59
4733,1198,2024-09-16,1,10
4734,1198,2024-09-16,2,58
4735,1198,2024-04-21,2,25
4736,1198,2024-10-24,2,13
4737,1198,2024-10-24,3,32
4738,1198,2024-10-24,4,73
4739,1198,2024-10-24,5,58
4740,1198,2024-10-24,7,40
4741,1199,2024-11-11,3,31
4742,1199,2024-11-11,7,36
4743,1199,2024-01-25,1,36
4744,1199,2024-01-25,2,28
4745,1199,2024-01-25,3,59
4746,1199,2024-01-25,7,15
4747,1199,2024-03-24,2,36
4748,1199,2024-03-24,4,51
4749,1200,2024-04-28,1,56
4750,1200,2024-04-28,6,43
4751,1200,2024-04-07,9,69
4752,1200,2024-04-07,2,34
4753,1200,2024-04-07,7,49
4754,1201,2024-01-25,1,65
4755,1201,2024-01-25,2,47
4756,1201,2024-01-25,5,28
4757,1202,2024-09-28,1,68
4758,1202,2024-09-28,2,30
4759,1203,2024-04-30,1,41
4760,1203,2024-04-30,2,24
4761,1204,2024-02-09,2,35
4762,1204,2024-02-09,4,65
4763,1204,2024-02-09,7,56
4764,1204,2024-07-21,1,56
4765,1204,2024-07-21,2,46
4766,1204,2024-07-21,5,32
4767,1204,2024-07-21,6,64
4768,1204,2024-07-20,1,26
4769,1205,2024-11-11,1,56
4770,1205,2024-11-11,2,69
4771,1205,2024-11-11,4,34
4772,1205,2024-11-11,6,50
4773,1206,2024-11-10,1,71
4774,1206,2024-11-10,2,45
4775,1206,2024-11-10,4,72
4776,1206,2024-11-10,8,51
4777,1207,2024-08-27,4,68
4778,1207,2024-08-27,5,55
4779,1208,2024-12-07,1,75
4780,1208,2024-12-07,2,52
4781,1208,2024-12-07,4,65
4782,1208,2024-12-07,6,35
4783,1209,2024-03-18,1,20
4784,1209,2024-03-18,3,10
4785,1209,2024-03-18,6,20
4786,1210,2024-01-28,1,38
4787,1211,2024-02-11,2,19
4788,1211,2024-02-11,3,48
4789,1211,2024-02-11,5,46
4790,1211,2024-02-11,6,75
4791,1212,2024-11-06,2,52
4792,1212,2024-11-06,7,68
4793,1213,2024-07-14,4,64
4794,1213,2024-07-14,5,35
4795,1214,2024-04-30,1,34
4796,1214,2024-04-30,2,53
4797,1214,2024-04-30,5,41
4798,1215,2024-10-28,1,35
4799,1215,2024-08-04,3,65
4800,1215,2024-08-04,6,29
4801,1215,2024-08-04,7,42
4802,1216,2024-09-02,1,23
4803,1216,2024-09-02,2,12
4804,1216,2024-09-02,3,15
4805,1216,2024-09-02,6,19
4806,1217,2024-09-28,7,12
4807,1218,2024-11-23,1,27
4808,1218,2024-04-27,9,23
4809,1218,2024-04-27,4,32
4810,1219,2024-07-15,8,63
4811,1220,2024-04-14,1,43
4812,1220,2024-04-14,2,26
4813,1220,2024-04-14,4,31
4814,1220,2024-06-19,10,26
4815,1220,2024-06-19,3,24
4816,1220,2024-06-19,5,47
4817,1220,2024-06-19,7,43
4818,1221,2024-12-12,2,14
4819,1221,2024-12-12,3,44
