booking_id,customer_id,booking_date,visit_date,ticket_type,tickets_count,total_amount,booking_channel
2032,1022,2024-09-11,2024-09-13,Family,1,349.39,Walk-in
2033,1023,2024-04-11,2024-04-14,Group,1,282.93,Walk-in
2034,1024,2024-11-21,2024-11-22,Group,1,282.73,Walk-in
2035,1025,2024-10-24,2024-10-25,Child,5,342.39,Online
2036,1026,2024-06-27,2024-06-27,Adult,2,231.46,Walk-in
2037,1026,2024-09-25,2024-09-28,Adult,4,493.24,Online
2038,1027,2024-07-13,2024-07-14,Child,3,201.76,Walk-in
2039,1028,2024-04-23,2024-04-26,Adult,5,577.71,Online
2040,1029,2024-03-28,2024-03-30,Child,3,202.48,Walk-in
2041,1030,2024-06-01,2024-06-04,Child,4,270.98,Walk-in
2042,1031,2024-10-21,2024-10-23,Adult,5,572.36,Walk-in
2043,1032,2024-10-23,2024-10-24,Child,1,67.48,Walk-in
2044,1033,2024-03-23,2024-03-24,Adult,3,377.0,Walk-in
2045,1034,2024-06-25,2024-06-25,Child,5,334.68,Walk-in
2046,1034,2024-10-23,2024-10-24,Child,1,72.2,Walk-in
2047,1034,2024-03-28,2024-03-30,Adult,1,121.74,Walk-in
2048,1035,2024-01-27,2024-01-28,Child,1,68.03,Walk-in
2049,1035,2024-03-28,2024-03-29,Child,3,207.64,Walk-in
2050,1035,2024-06-17,2024-06-19,Child,6,429.02,Walk-in
2051,1035,2024-02-07,2024-02-07,Adult,5,599.49,Walk-in
2052,1036,2024-02-12,2024-02-13,Adult,2,240.87,Walk-in
2053,1036,2024-10-10,2024-10-12,Child,5,346.09,Online
2054,1037,2024-10-09,2024-10-11,Adult,3,356.13,Walk-in
2055,1038,2024-07-15,2024-07-18,Adult,1,114.5,Online
2056,1039,2024-10-28,2024-10-29,Adult,5,614.14,Walk-in
2057,1040,2024-09-07,2024-09-09,Adult,1,121.77,Walk-in
2058,1041,2024-12-27,2024-12-29,Adult,1,117.72,Walk-in
2059,1042,2024-04-11,2024-04-12,Child,6,415.32,Walk-in
2060,1043,2024-12-20,2024-12-21,Group,1,279.44,Walk-in
2061,1044,2024-11-22,2024-11-23,Adult,1,124.61,Online
2062,1044,2024-09-28,2024-09-28,Group,1,292.04,Walk-in
2063,1044,2024-06-19,2024-06-20,Adult,3,349.75,Walk-in
2064,1045,2024-06-12,2024-06-12,Adult,6,685.61,Walk-in
2065,1046,2024-12-10,2024-12-11,Adult,2,230.89,Walk-in
2066,1047,2024-12-26,2024-12-26,Family,1,365.12,Walk-in
2067,1048,2024-03-24,2024-03-25,Child,5,356.82,Walk-in
2068,1049,2024-01-19,2024-01-22,Adult,6,695.04,Walk-in
2069,1050,2024-09-01,2024-09-01,Child,4,277.55,Online
2070,1051,2024-08-02,2024-08-02,Group,1,290.54,Walk-in
2071,1051,2024-10-07,2024-10-09,Adult,3,376.67,Walk-in
2072,1051,2024-09-26,2024-09-26,Group,1,267.24,Walk-in
2073,1051,2024-12-18,2024-12-21,Family,1,357.54,Online
2074,1052,2024-05-03,2024-05-05,Child,4,281.25,Walk-in
2075,1052,2024-12-24,2024-12-25,Adult,6,708.97,Walk-in
2076,1053,2024-06-15,2024-06-17,Family,1,337.67,Walk-in
2077,1053,2024-12-22,2024-12-25,Adult,4,460.15,Walk-in
2078,1053,2024-03-12,2024-03-15,Child,5,362.66,Walk-in
2079,1054,2024-01-17,2024-01-18,Child,5,354.64,Walk-in
2080,1054,2024-12-19,2024-12-20,Group,1,288.18,Online
2081,1054,2024-06-27,2024-06-30,Family,1,367.17,Walk-in
2082,1055,2024-07-19,2024-07-19,Adult,5,609.88,Walk-in
2083,1056,2024-04-23,2024-04-25,Child,3,214.87,Walk-in
2084,1056,2024-07-13,2024-07-16,Adult,3,368.99,Walk-in
2085,1056,2024-12-08,2024-12-11,Adult,6,748.46,Walk-in
2086,1057,2024-01-26,2024-01-26,Child,1,71.36,Walk-in
2087,1058,2024-10-10,2024-10-11,Child,1,73.16,Walk-in
2088,1059,2024-01-10,2024-01-10,Adult,6,689.14,Walk-in
2089,1060,2024-12-14,2024-12-16,Family,1,332.87,Walk-in
2090,1061,2024-06-12,2024-06-13,Adult,5,605.38,Walk-in
2091,1062,2024-09-02,2024-09-05,Group,1,280.0,Walk-in
2092,1063,2024-04-16,2024-04-19,Family,1,359.44,Walk-in
2093,1063,2024-08-12,2024-08-15,Group,1,276.64,Online
2094,1064,2024-10-03,2024-10-06,Adult,1,115.0,Online
2095,1065,2024-10-04,2024-10-07,Adult,3,350.69,Online
2096,1066,2024-01-10,2024-01-13,Adult,4,460.56,Walk-in
2097,1067,2024-08-22,2024-08-22,Group,1,278.44,Walk-in
2098,1068,2024-07-23,2024-07-26,Family,1,351.25,Online
2099,1068,2024-04-04,2024-04-07,Adult,4,470.08,Walk-in
2100,1069,2024-05-11,2024-05-14,Adult,2,251.25,Walk-in
2101,1070,2024-07-08,2024-07-08,Adult,6,742.09,Online
2102,1070,2024-10-02,2024-10-04,Adult,3,373.16,Walk-in
2103,1070,2024-07-23,2024-07-26,Family,1,365.68,Walk-in
2104,1070,2024-03-05,2024-03-05,Child,3,216.18,Walk-in
2105,1071,2024-10-23,2024-10-25,Child,1,69.43,Walk-in
2106,1071,2024-07-23,2024-07-26,Adult,1,117.15,Online
2107,1072,2024-06-13,2024-06-14,Group,1,290.51,Walk-in
2108,1073,2024-03-19,2024-03-20,Family,1,348.11,Online
2109,1074,2024-06-09,2024-06-12,Adult,6,697.36,Walk-in
2110,1074,2024-08-08,2024-08-09,Adult,2,245.92,Walk-in
2111,1075,2024-06-17,2024-06-17,Adult,6,703.14,Walk-in
2112,1075,2024-05-26,2024-05-27,Adult,2,248.65,Walk-in
2113,1076,2024-04-16,2024-04-19,Child,1,67.71,Walk-in
2114,1076,2024-09-28,2024-09-28,Adult,2,248.59,Walk-in
2115,1077,2024-10-16,2024-10-16,Child,2,141.78,Walk-in
2116,1077,2024-09-08,2024-09-10,Child,4,267.2,Walk-in
2117,1078,2024-06-07,2024-06-09,Adult,5,620.18,Walk-in
2118,1079,2024-12-16,2024-12-19,Child,6,405.61,Walk-in
2119,1080,2024-05-25,2024-05-25,Child,1,69.42,Walk-in
2120,1081,2024-10-25,2024-10-26,Family,1,333.9,Walk-in
2121,1081,2024-05-21,2024-05-23,Adult,5,606.32,Walk-in
2122,1082,2024-12-16,2024-12-19,Adult,6,726.45,Walk-in
2123,1083,2024-09-20,2024-09-21,Child,1,71.34,Online
2124,1084,2024-07-20,2024-07-20,Adult,3,375.63,Online
2125,1085,2024-08-08,2024-08-10,Group,1,275.08,Walk-in
2126,1086,2024-04-10,2024-04-11,Family,1,350.62,Walk-in
2127,1087,2024-04-14,2024-04-15,Family,1,363.67,Walk-in
2128,1087,2024-10-10,2024-10-11,Family,1,345.15,Walk-in
2129,1088,2024-05-26,2024-05-29,Child,2,134.64,Walk-in
2130,1089,2024-05-08,2024-05-09,Child,6,433.88,Walk-in
2131,1089,2024-09-16,2024-09-18,Adult,4,490.42,Online
2132,1089,2024-07-11,2024-07-12,Adult,1,117.03,Online
2133,1090,2024-11-13,2024-11-13,Adult,3,375.4,Walk-in
2134,1091,2024-12-19,2024-12-21,Child,4,271.58,Walk-in
2135,1092,2024-06-16,2024-06-16,Child,4,274.77,Walk-in
2136,1092,2024-03-25,2024-03-25,Adult,1,117.33,Walk-in
2137,1093,2024-04-26,2024-04-26,Group,1,285.23,Walk-in
2138,1093,2024-12-19,2024-12-19,Adult,3,377.17,Walk-in
2139,1094,2024-05-08,2024-05-09,Adult,5,604.24,Walk-in
2140,1095,2024-08-27,2024-08-28,Adult,5,605.05,Online
2141,1095,2024-04-27,2024-04-30,Adult,5,571.05,Walk-in
2142,1096,2024-08-20,2024-08-22,Family,1,336.86,Walk-in
2143,1097,2024-06-08,2024-06-11,Child,2,145.85,Walk-in
2144,1098,2024-01-22,2024-01-24,Child,5,362.24,Walk-in
2145,1099,2024-04-28,2024-04-28,Child,4,278.39,Walk-in
2146,1100,2024-06-20,2024-06-23,Adult,3,349.38,Walk-in
2147,1101,2024-07-17,2024-07-19,Adult,4,480.36,Walk-in
2148,1102,2024-07-07,2024-07-09,Adult,1,121.21,Walk-in
2149,1103,2024-06-26,2024-06-29,Adult,3,354.72,Walk-in
2150,1104,2024-10-08,2024-10-11,Child,4,292.9,Walk-in
2151,1105,2024-08-21,2024-08-21,Child,1,69.22,Walk-in
2152,1105,2024-06-16,2024-06-19,Family,1,364.32,Walk-in
2153,1105,2024-04-08,2024-04-10,Adult,3,359.23,Walk-in
2154,1106,2024-12-21,2024-12-22,Family,1,366.77,Walk-in
2155,1107,2024-10-03,2024-10-04,Adult,6,723.8,Walk-in
2156,1108,2024-07-09,2024-07-12,Adult,2,248.6,Walk-in
2157,1108,2024-12-08,2024-12-11,Adult,5,574.01,Online
2158,1109,2024-09-19,2024-09-20,Adult,4,501.22,Online
2159,1110,2024-04-26,2024-04-27,Child,1,66.97,Walk-in
2160,1111,2024-11-06,2024-11-06,Family,1,351.87,Walk-in
2161,1112,2024-04-18,2024-04-19,Adult,1,117.91,Walk-in
2162,1113,2024-04-27,2024-04-27,Child,1,69.26,Walk-in
2163,1113,2024-07-28,2024-07-29,Adult,5,620.06,Walk-in
2164,1113,2024-04-08,2024-04-11,Adult,1,122.56,Walk-in
2165,1114,2024-09-02,2024-09-02,Group,1,269.81,Walk-in
2166,1114,2024-07-16,2024-07-19,Child,6,415.96,Walk-in
2167,1115,2024-12-17,2024-12-19,Family,1,352.71,Online
2168,1116,2024-06-09,2024-06-12,Adult,4,462.06,Walk-in
2169,1116,2024-02-12,2024-02-14,Adult,4,474.36,Walk-in
2170,1116,2024-01-16,2024-01-17,Family,1,340.04,Walk-in
2171,1117,2024-10-15,2024-10-16,Child,3,207.82,Walk-in
2172,1117,2024-12-15,2024-12-17,Child,4,285.96,Walk-in
2173,1118,2024-04-05,2024-04-08,Group,1,272.87,Walk-in
2174,1119,2024-09-04,2024-09-06,Adult,3,358.74,Walk-in
2175,1119,2024-09-14,2024-09-14,Child,3,216.74,Walk-in
2176,1119,2024-01-28,2024-01-31,Adult,3,348.97,Walk-in
2177,1120,2024-03-04,2024-03-05,Family,1,352.16,Walk-in
2178,1121,2024-07-21,2024-07-23,Adult,4,472.03,Walk-in
2179,1121,2024-06-11,2024-06-13,Adult,5,605.14,Walk-in
2180,1122,2024-10-14,2024-10-14,Family,1,351.68,Online
2181,1122,2024-07-05,2024-07-08,Adult,6,715.67,Online
2182,1122,2024-04-05,2024-04-06,Adult,4,469.24,Walk-in
2183,1123,2024-01-01,2024-01-02,Adult,5,581.62,Walk-in
2184,1124,2024-12-14,2024-12-16,Group,1,271.9,Online
2185,1125,2024-03-02,2024-03-04,Family,1,360.05,Walk-in
2186,1126,2024-12-06,2024-12-09,Adult,6,717.09,Online
2187,1127,2024-09-12,2024-09-15,Group,1,273.23,Walk-in
2188,1127,2024-12-27,2024-12-29,Child,3,210.56,Walk-in
2189,1128,2024-11-19,2024-11-21,Family,1,359.74,Walk-in
2190,1128,2024-11-14,2024-11-17,Adult,5,588.03,Online
2191,1129,2024-12-02,2024-12-04,Family,1,341.52,Online
2192,1130,2024-08-28,2024-08-29,Family,1,341.21,Online
2193,1131,2024-12-23,2024-12-25,Child,4,277.74,Walk-in
2194,1132,2024-02-06,2024-02-09,Group,1,284.56,Walk-in
2195,1133,2024-12-02,2024-12-05,Child,4,270.31,Walk-in
2196,1134,2024-01-12,2024-01-12,Adult,4,498.2,Walk-in
2197,1135,2024-12-19,2024-12-20,Child,2,137.01,Walk-in
2198,1135,2024-03-06,2024-03-08,Child,1,67.2,Walk-in
2199,1135,2024-10-05,2024-10-08,Child,1,73.04,Online
2200,1136,2024-10-05,2024-10-05,Adult,2,228.78,Walk-in
2201,1137,2024-11-22,2024-11-24,Family,1,335.56,Walk-in
2202,1138,2024-05-04,2024-05-04,Group,1,268.31,Walk-in
2203,1138,2024-01-07,2024-01-08,Family,1,361.35,Walk-in
2204,1139,2024-04-10,2024-04-10,Family,1,342.46,Walk-in
2205,1140,2024-09-09,2024-09-10,Child,6,420.63,Walk-in
2206,1140,2024-04-10,2024-04-10,Adult,3,365.94,Walk-in
2207,1140,2024-11-12,2024-11-14,Adult,6,742.65,Walk-in
2208,1140,2024-12-26,2024-12-28,Family,1,339.87,Walk-in
2209,1141,2024-10-02,2024-10-02,Adult,1,115.77,Online
2210,1141,2024-03-24,2024-03-24,Adult,3,366.76,Walk-in
2211,1141,2024-10-14,2024-10-17,Adult,6,732.12,Walk-in
2212,1141,2024-10-10,2024-10-11,Family,1,355.47,Walk-in
2213,1142,2024-06-12,2024-06-12,Adult,3,356.02,Walk-in
2214,1143,2024-07-13,2024-07-15,Child,3,215.15,Walk-in
2215,1144,2024-09-25,2024-09-26,Adult,2,250.9,Walk-in
2216,1145,2024-07-11,2024-07-12,Adult,2,233.76,Walk-in
2217,1146,2024-12-07,2024-12-08,Child,1,70.92,Walk-in
2218,1147,2024-11-12,2024-11-14,Adult,4,493.04,Online
2219,1148,2024-04-05,2024-04-07,Family,1,362.52,Walk-in
2220,1149,2024-04-13,2024-04-14,Child,6,432.61,Walk-in
2221,1150,2024-10-18,2024-10-20,Child,4,267.25,Walk-in
2222,1151,2024-06-21,2024-06-21,Child,4,292.01,Walk-in
2223,1151,2024-09-08,2024-09-10,Family,1,340.3,Walk-in
2224,1151,2024-12-28,2024-12-28,Family,1,355.9,Walk-in
2225,1152,2024-06-01,2024-06-02,Adult,4,467.47,Walk-in
2226,1153,2024-01-03,2024-01-05,Child,5,365.4,Walk-in
2227,1154,2024-12-24,2024-12-26,Family,1,355.72,Walk-in
2228,1155,2024-08-18,2024-08-20,Family,1,362.43,Online
2229,1155,2024-06-24,2024-06-26,Adult,6,698.42,Walk-in
2230,1155,2024-02-21,2024-02-22,Group,1,266.58,Walk-in
2231,1155,2024-10-09,2024-10-10,Family,1,356.01,Walk-in
2232,1156,2024-12-07,2024-12-08,Adult,3,353.14,Walk-in
2233,1157,2024-07-03,2024-07-03,Group,1,290.45,Online
2234,1158,2024-01-08,2024-01-08,Family,1,360.3,Walk-in
2235,1158,2024-12-04,2024-12-07,Adult,5,615.96,Online
2236,1159,2024-07-04,2024-07-07,Family,1,342.24,Walk-in
2237,1160,2024-10-12,2024-10-13,Adult,2,241.09,Walk-in
2238,1160,2024-01-20,2024-01-20,Group,1,270.54,Walk-in
2239,1161,2024-07-23,2024-07-24,Child,6,413.76,Walk-in
2240,1162,2024-06-25,2024-06-28,Adult,5,616.55,Walk-in
2241,1163,2024-03-20,2024-03-23,Family,1,358.67,Walk-in
2242,1164,2024-12-08,2024-12-11,Child,4,276.84,Walk-in
2243,1165,2024-04-02,2024-04-02,Child,1,70.5,Walk-in
2244,1166,2024-09-12,2024-09-14,Child,1,73.29,Online
2245,1166,2024-02-27,2024-02-27,Child,5,359.31,Walk-in
2246,1167,2024-07-18,2024-07-20,Adult,1,123.43,Walk-in
2247,1168,2024-04-18,2024-04-21,Adult,1,114.66,Walk-in
2248,1169,2024-12-05,2024-12-07,Family,1,367.47,Walk-in
2249,1170,2024-11-03,2024-11-05,Adult,3,368.59,Walk-in
2250,1171,2024-01-10,2024-01-12,Adult,1,124.43,Walk-in
2251,1172,2024-09-28,2024-09-28,Adult,1,125.7,Online
2252,1173,2024-05-04,2024-05-05,Child,5,360.51,Walk-in
2253,1174,2024-04-27,2024-04-27,Family,1,351.71,Walk-in
2254,1175,2024-10-10,2024-10-12,Adult,4,492.11,Walk-in
2255,1176,2024-12-14,2024-12-14,Family,1,341.92,Walk-in
2256,1177,2024-02-19,2024-02-19,Adult,4,458.04,Walk-in
2257,1178,2024-06-04,2024-06-06,Adult,5,623.7,Walk-in
2258,1179,2024-06-06,2024-06-06,Child,1,69.79,Walk-in
2259,1179,2024-03-24,2024-03-25,Group,1,266.15,Walk-in
2260,1179,2024-04-26,2024-04-27,Child,2,133.83,Walk-in
2261,1180,2024-09-07,2024-09-09,Adult,4,502.74,Walk-in
2262,1181,2024-08-09,2024-08-10,Child,1,71.45,Walk-in
2263,1182,2024-09-01,2024-09-01,Child,2,143.45,Walk-in
2264,1183,2024-08-27,2024-08-27,Group,1,272.97,Walk-in
2265,1183,2024-04-08,2024-04-08,Family,1,356.44,Walk-in
2266,1183,2024-04-04,2024-04-04,Family,1,357.6,Walk-in
2267,1184,2024-01-04,2024-01-06,Adult,2,231.53,Walk-in
2268,1184,2024-03-12,2024-03-14,Group,1,276.6,Walk-in
2269,1184,2024-04-22,2024-04-23,Family,1,337.61,Walk-in
2270,1185,2024-04-22,2024-04-23,Child,3,208.69,Walk-in
2271,1186,2024-07-06,2024-07-06,Family,1,361.68,Online
2272,1187,2024-07-07,2024-07-10,Adult,3,347.07,Walk-in
2273,1187,2024-06-01,2024-06-04,Family,1,351.04,Walk-in
2274,1188,2024-06-21,2024-06-22,Child,6,435.28,Walk-in
2275,1189,2024-12-09,2024-12-10,Child,4,291.33,Walk-in
2276,1190,2024-04-16,2024-04-19,Adult,5,600.58,Walk-in
2277,1191,2024-02-24,2024-02-26,Child,6,403.15,Walk-in
2278,1192,2024-07-10,2024-07-13,Adult,5,627.43,Walk-in
2279,1192,2024-12-09,2024-12-10,Family,1,355.9,Walk-in
2280,1192,2024-09-26,2024-09-27,Child,5,332.62,Online
2281,1193,2024-05-23,2024-05-26,Child,1,69.87,Walk-in
2282,1193,2024-10-24,2024-10-27,Adult,3,363.1,Walk-in
2283,1193,2024-09-20,2024-09-22,Adult,4,485.98,Online
2284,1194,2024-05-28,2024-05-30,Adult,2,240.78,Walk-in
2285,1195,2024-07-18,2024-07-18,Family,1,336.11,Online
2286,1196,2024-04-28,2024-04-28,Adult,4,481.68,Walk-in
2287,1197,2024-02-18,2024-02-21,Family,1,340.23,Walk-in
2288,1197,2024-06-02,2024-06-04,Adult,5,594.55,Online
2289,1198,2024-09-15,2024-09-16,Adult,2,242.68,Walk-in
2290,1198,2024-04-20,2024-04-21,Adult,6,703.95,Walk-in
2291,1198,2024-10-24,2024-10-24,Group,1,279.71,Online
2292,1199,2024-11-11,2024-11-11,Adult,5,583.76,Walk-in
2293,1199,2024-01-23,2024-01-25,Group,1,287.09,Walk-in
2294,1199,2024-03-24,2024-03-24,Group,1,282.01,Walk-in
2295,1200,2024-04-27,2024-04-28,Adult,1,122.79,Walk-in
2296,1200,2024-04-05,2024-04-07,Child,6,417.88,Walk-in
2297,1201,2024-01-24,2024-01-25,Adult,3,372.05,Walk-in
2298,1202,2024-09-27,2024-09-28,Child,1,67.7,Walk-in
2299,1203,2024-04-27,2024-04-30,Adult,2,233.08,Walk-in
2300,1204,2024-02-08,2024-02-09,Adult,5,612.82,Walk-in
2301,1204,2024-07-19,2024-07-21,Family,1,338.01,Online
2302,1204,2024-07-19,2024-07-20,Group,1,277.9,Walk-in
2303,1205,2024-11-09,2024-11-11,Adult,2,250.23,Online
2304,1206,2024-11-07,2024-11-10,Adult,5,597.89,Walk-in
2305,1207,2024-08-26,2024-08-27,Group,1,272.43,Walk-in
2306,1208,2024-12-04,2024-12-07,Adult,6,725.81,Online
2307,1209,2024-03-17,2024-03-18,Child,2,144.19,Walk-in
2308,1210,2024-01-28,2024-01-28,Adult,5,575.01,Walk-in
2309,1211,2024-02-09,2024-02-11,Child,2,133.62,Walk-in
2310,1212,2024-11-05,2024-11-06,Family,1,335.63,Walk-in
2311,1213,2024-07-14,2024-07-14,Family,1,343.76,Walk-in
2312,1214,2024-04-28,2024-04-30,Adult,1,123.36,Walk-in
2313,1215,2024-10-28,2024-10-28,Adult,2,246.18,Online
2314,1215,2024-08-03,2024-08-04,Child,1,69.57,Online
2315,1216,2024-09-02,2024-09-02,Family,1,367.09,Walk-in
2316,1217,2024-09-26,2024-09-28,Family,1,341.63,Walk-in
2317,1218,2024-11-20,2024-11-23,Adult,5,624.62,Walk-in
2318,1218,2024-04-25,2024-04-27,Child,1,68.7,Walk-in
2319,1219,2024-07-15,2024-07-15,Adult,1,114.03,Walk-in
2320,1220,2024-04-12,2024-04-14,Adult,6,721.14,Walk-in
2321,1220,2024-06-19,2024-06-19,Adult,2,247.14,Walk-in
2322,1221,2024-12-12,2024-12-12,Adult,2,246.84,Walk-in
2323,1222,2024-01-23,2024-01-23,Child,1,69.35,Walk-in
2324,1223,2024-09-20,2024-09-23,Child,1,71.91,Online
2325,1224,2024-12-28,2024-12-29,Adult,1,117.21,Walk-in
2326,1225,2024-03-13,2024-03-15,Family,1,336.85,Walk-in
2327,1226,2024-07-01,2024-07-03,Child,3,219.71,Walk-in
2328,1227,2024-07-16,2024-07-19,Family,1,341.22,Walk-in
2329,1227,2024-10-07,2024-10-07,Adult,2,231.72,Walk-in
2330,1227,2024-10-20,2024-10-22,Family,1,350.76,Walk-in
2331,1227,2024-09-10,2024-09-13,Adult,1,116.91,Walk-in
2332,1228,2024-10-12,2024-10-15,Adult,3,376.59,Walk-in
2333,1229,2024-07-02,2024-07-05,Adult,6,712.07,Walk-in
2334,1229,2024-10-25,2024-10-27,Family,1,333.98,Walk-in
2335,1229,2024-04-22,2024-04-24,Adult,6,697.46,Walk-in
2336,1230,2024-12-24,2024-12-24,Family,1,348.94,Walk-in
2337,1231,2024-11-28,2024-11-30,Child,5,350.18,Online
2338,1231,2024-10-24,2024-10-24,Adult,5,611.84,Walk-in
2339,1232,2024-11-09,2024-11-11,Family,1,337.2,Walk-in
2340,1233,2024-10-22,2024-10-24,Adult,6,730.01,Online
2341,1234,2024-05-07,2024-05-08,Adult,3,349.0,Walk-in
2342,1235,2024-08-23,2024-08-23,Adult,2,247.36,Online
2343,1236,2024-02-23,2024-02-26,Child,6,435.9,Walk-in
2344,1236,2024-01-07,2024-01-08,Child,6,427.51,Walk-in
2345,1237,2024-03-21,2024-03-23,Group,1,267.1,Walk-in
2346,1238,2024-01-03,2024-01-03,Group,1,283.13,Walk-in
2347,1239,2024-10-11,2024-10-14,Adult,5,621.5,Online
2348,1240,2024-10-17,2024-10-17,Adult,2,233.01,Walk-in
2349,1241,2024-11-19,2024-11-19,Adult,4,461.38,Walk-in
2350,1241,2024-08-01,2024-08-02,Family,1,344.18,Walk-in
2351,1241,2024-07-24,2024-07-26,Family,1,353.36,Online
2352,1242,2024-12-01,2024-12-02,Adult,5,617.52,Walk-in
2353,1242,2024-01-10,2024-01-10,Family,1,362.98,Walk-in
2354,1242,2024-08-04,2024-08-06,Adult,4,481.43,Walk-in
2355,1242,2024-01-05,2024-01-08,Adult,6,695.35,Walk-in
2356,1243,2024-09-05,2024-09-05,Adult,3,354.07,Walk-in
2357,1243,2024-02-02,2024-02-04,Adult,5,594.43,Walk-in
2358,1243,2024-11-21,2024-11-21,Family,1,344.31,Walk-in
2359,1244,2024-06-14,2024-06-14,Child,1,67.32,Walk-in
2360,1245,2024-10-01,2024-10-01,Group,1,290.5,Walk-in
2361,1246,2024-12-12,2024-12-15,Adult,5,575.3,Online
2362,1246,2024-01-05,2024-01-08,Adult,6,699.33,Online
2363,1246,2024-10-09,2024-10-11,Adult,4,480.44,Walk-in
2364,1247,2024-08-16,2024-08-19,Child,5,355.05,Walk-in
2365,1248,2024-04-17,2024-04-19,Adult,1,115.39,Walk-in
2366,1248,2024-08-26,2024-08-29,Family,1,344.49,Walk-in
2367,1248,2024-12-18,2024-12-19,Child,2,136.27,Walk-in
2368,1248,2024-10-02,2024-10-02,Family,1,348.3,Walk-in
2369,1249,2024-09-02,2024-09-04,Group,1,282.26,Walk-in
2370,1249,2024-05-19,2024-05-20,Group,1,286.01,Walk-in
2371,1249,2024-04-26,2024-04-27,Child,5,357.22,Walk-in
2372,1249,2024-09-25,2024-09-28,Family,1,355.49,Online
2373,1250,2024-09-25,2024-09-28,Adult,5,587.73,Walk-in
2374,1250,2024-06-13,2024-06-14,Adult,5,576.18,Walk-in
2375,1251,2024-07-10,2024-07-11,Group,1,290.94,Walk-in
2376,1252,2024-11-26,2024-11-27,Adult,2,246.63,Walk-in
2377,1253,2024-08-02,2024-08-05,Child,1,73.43,Walk-in
2378,1253,2024-06-04,2024-06-07,Family,1,366.53,Walk-in
2379,1254,2024-07-24,2024-07-25,Adult,6,700.42,Walk-in
2380,1255,2024-05-22,2024-05-24,Family,1,363.95,Walk-in
2381,1256,2024-09-18,2024-09-18,Family,1,366.83,Online
2382,1257,2024-12-14,2024-12-14,Group,1,291.26,Walk-in
2383,1257,2024-07-01,2024-07-02,Child,3,210.93,Walk-in
2384,1257,2024-09-03,2024-09-06,Child,3,208.05,Walk-in
2385,1258,2024-11-01,2024-11-04,Family,1,335.94,Online
2386,1259,2024-12-25,2024-12-26,Family,1,343.48,Walk-in
2387,1260,2024-12-04,2024-12-06,Family,1,359.7,Walk-in
2388,1261,2024-03-19,2024-03-21,Family,1,342.02,Walk-in
2389,1262,2024-12-27,2024-12-28,Child,2,133.01,Walk-in
2390,1262,2024-07-20,2024-07-23,Group,1,276.9,Online
2391,1262,2024-03-25,2024-03-28,Child,1,67.07,Walk-in
2392,1262,2024-09-27,2024-09-27,Adult,1,118.5,Walk-in
2393,1263,2024-09-03,2024-09-05,Child,1,72.5,Walk-in
2394,1264,2024-07-25,2024-07-26,Family,1,350.76,Online
2395,1265,2024-12-21,2024-12-24,Child,1,71.61,Walk-in
2396,1265,2024-04-01,2024-04-04,Child,5,342.35,Walk-in
2397,1265,2024-10-15,2024-10-16,Family,1,359.2,Walk-in
2398,1266,2024-03-05,2024-03-07,Adult,1,122.95,Walk-in
